year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,7,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",36.00,6.00,4.91,0.00,0.54,0.00,0.56,1.00,0.00,339.00,271.00,0.00,20.00,0.00,48.00
2022,7,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",121.00,14.00,2.76,1.00,9.26,0.00,0.97,19.00,0.00,1353.00,84.00,147.00,980.00,0.00,142.00
2022,7,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",36.00,4.00,1.81,0.00,2.19,0.00,0.00,0.00,0.00,149.00,37.00,0.00,112.00,0.00,0.00
2022,7,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",33.00,6.00,1.94,0.00,0.00,0.00,4.06,0.00,0.00,701.00,185.00,0.00,0.00,0.00,516.00
2022,7,9E,Endeavor Air Inc.,GNV,"Gainesville, FL: Gainesville Regional",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,7,9E,Endeavor Air Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",31.00,5.00,2.00,0.00,1.04,0.00,1.96,1.00,0.00,495.00,114.00,0.00,33.00,0.00,348.00
2022,7,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",78.00,19.00,7.90,0.00,5.62,0.00,5.48,12.00,0.00,1590.00,785.00,0.00,244.00,0.00,561.00
2022,7,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",103.00,32.00,12.44,2.53,8.62,0.00,8.42,6.00,0.00,2288.00,802.00,191.00,382.00,0.00,913.00
2022,7,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",100.00,21.00,6.02,0.31,5.23,0.00,9.44,10.00,0.00,1485.00,350.00,27.00,214.00,0.00,894.00
2022,7,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional",83.00,20.00,7.34,0.33,5.48,0.00,6.86,1.00,0.00,1718.00,1079.00,16.00,154.00,0.00,469.00
2022,7,9E,Endeavor Air Inc.,HPN,"White Plains, NY: Westchester County",50.00,8.00,4.18,0.90,2.52,0.00,0.39,1.00,0.00,599.00,281.00,206.00,96.00,0.00,16.00
2022,7,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",93.00,20.00,7.36,0.00,9.10,0.00,3.54,10.00,0.00,1092.00,487.00,0.00,372.00,0.00,233.00
2022,7,9E,Endeavor Air Inc.,ILM,"Wilmington, NC: Wilmington International",120.00,38.00,11.72,2.24,20.63,0.00,3.41,6.00,0.00,1578.00,630.00,223.00,610.00,0.00,115.00
2022,7,9E,Endeavor Air Inc.,IND,"Indianapolis, IN: Indianapolis International",186.00,39.00,17.25,0.00,10.72,0.48,10.55,11.00,0.00,3776.00,1842.00,0.00,671.00,90.00,1173.00
2022,7,9E,Endeavor Air Inc.,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,7,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",2056.00,339.00,101.78,9.83,131.09,0.00,96.30,164.00,8.00,31737.00,11239.00,672.00,10642.00,0.00,9184.00
2022,7,9E,Endeavor Air Inc.,LAN,"Lansing, MI: Capital Region International",70.00,4.00,3.80,0.00,0.03,0.00,0.17,0.00,0.00,622.00,600.00,0.00,14.00,0.00,8.00
2022,7,9E,Endeavor Air Inc.,LEX,"Lexington, KY: Blue Grass",71.00,22.00,10.18,0.90,5.92,0.00,4.99,0.00,0.00,1028.00,389.00,32.00,216.00,0.00,391.00
2022,7,9E,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",94.00,15.00,3.93,0.00,6.92,0.00,4.15,0.00,0.00,526.00,154.00,0.00,206.00,0.00,166.00
2022,7,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",3293.00,581.00,151.20,31.22,233.85,0.00,164.73,309.00,37.00,58135.00,18729.00,5108.00,19950.00,0.00,14348.00
2022,7,9E,Endeavor Air Inc.,MBS,"Saginaw/Bay City/Midland, MI: MBS International",62.00,7.00,4.79,0.00,1.21,0.00,1.00,0.00,0.00,1065.00,870.00,0.00,54.00,0.00,141.00
2022,7,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",36.00,6.00,1.58,0.00,2.35,0.00,2.07,2.00,0.00,1536.00,989.00,0.00,141.00,0.00,406.00
2022,7,9E,Endeavor Air Inc.,MEM,"Memphis, TN: Memphis International",75.00,15.00,6.07,0.00,4.63,0.00,4.31,3.00,0.00,965.00,357.00,0.00,169.00,0.00,439.00
2022,7,9E,Endeavor Air Inc.,MGM,"Montgomery, AL: Montgomery Regional",124.00,27.00,11.94,2.78,4.38,0.00,7.90,0.00,0.00,1952.00,1162.00,182.00,160.00,0.00,448.00
2022,7,9E,Endeavor Air Inc.,MKE,"Milwaukee, WI: General Mitchell International",231.00,55.00,25.73,1.00,12.67,0.00,15.60,22.00,2.00,4947.00,1883.00,40.00,667.00,0.00,2357.00
2022,7,9E,Endeavor Air Inc.,MLI,"Moline, IL: Quad City International",52.00,8.00,3.85,0.00,1.75,0.00,2.40,0.00,0.00,562.00,327.00,0.00,54.00,0.00,181.00
2022,7,9E,Endeavor Air Inc.,MLU,"Monroe, LA: Monroe Regional",83.00,19.00,6.65,0.00,1.92,0.00,10.43,0.00,0.00,1126.00,594.00,0.00,85.00,0.00,447.00
2022,7,9E,Endeavor Air Inc.,MOB,"Mobile, AL: Mobile Regional",107.00,31.00,18.09,1.61,6.15,0.00,5.16,0.00,1.00,1771.00,1139.00,53.00,218.00,0.00,361.00
2022,7,9E,Endeavor Air Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",79.00,15.00,3.34,1.34,7.14,0.00,3.18,9.00,0.00,1575.00,285.00,599.00,478.00,0.00,213.00
2022,7,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",617.00,89.00,38.23,1.49,20.40,0.00,28.87,6.00,0.00,7483.00,3562.00,65.00,775.00,0.00,3081.00
